#separator:tab
#html:true
#notetype:Basic
#deck:TS Programming language
#columns:Front	Back
What does <code>Partial&lt;T&gt;</code> do in TypeScript? Give an example.	Makes all properties of <code>T</code> <b>optional</b>.<br><br><pre><code>interface User { name: string; age: number }<br>const u: Partial&lt;User&gt; = { name: 'Ann' }; // age optional</code></pre>
What does <code>Required&lt;T&gt;</code> do in TypeScript? Give an example.	Makes all properties of <code>T</code> <b>required</b> (removes <code>?</code>).<br><br><pre><code>interface U { name?: string }<br>const u: Required&lt;U&gt; = { name: 'Ann' }; // name required</code></pre>
What does <code>Readonly&lt;T&gt;</code> do in TypeScript? Give an example.	Makes all properties of <code>T</code> <b>readonly</b> (cannot be reassigned).<br><br><pre><code>interface U { name: string }<br>const u: Readonly&lt;U&gt; = { name: 'Ann' };<br>// u.name = 'Bob'; // Error</code></pre>
What does <code>Record&lt;K, T&gt;</code> do in TypeScript? Give an example.	Builds an object type with keys <code>K</code> and values of type <code>T</code>.<br><br><pre><code>type R = Record&lt;'a' | 'b', number&gt;;<br>// { a: number; b: number }</code></pre>
What does <code>Pick&lt;T, K&gt;</code> do in TypeScript? Give an example.	Builds a type with a <b>subset</b> of properties <code>K</code> from <code>T</code>.<br><br><pre><code>interface User { name: string; age: number; id: string }<br>type N = Pick&lt;User, 'name' | 'age'&gt;; // { name: string; age: number }</code></pre>
What does <code>Omit&lt;T, K&gt;</code> do in TypeScript? Give an example.	Builds a type with properties <code>K</code> <b>removed</b> from <code>T</code>.<br><br><pre><code>interface User { name: string; age: number; id: string }<br>type N = Omit&lt;User, 'id'&gt;; // { name: string; age: number }</code></pre>
What does <code>Exclude&lt;T, U&gt;</code> do in TypeScript? Give an example.	From union <code>T</code>, removes members assignable to <code>U</code>.<br><br><pre><code>type T = Exclude&lt;'a' | 'b' | 'c', 'a'&gt;; // 'b' | 'c'</code></pre>
What does <code>Extract&lt;T, U&gt;</code> do in TypeScript? Give an example.	From union <code>T</code>, keeps only members assignable to <code>U</code> (opposite of <code>Exclude</code>).<br><br><pre><code>type T = Extract&lt;'a' | 'b' | 1, string&gt;; // 'a' | 'b'</code></pre>
What does <code>NonNullable&lt;T&gt;</code> do in TypeScript? Give an example.	Removes <code>null</code> and <code>undefined</code> from <code>T</code>.<br><br><pre><code>type T = NonNullable&lt;string | null | undefined&gt;; // string</code></pre>
What does <code>Parameters&lt;T&gt;</code> do in TypeScript? Give an example.	Gives the <b>parameter types</b> of a function type as a tuple.<br><br><pre><code>function f(a: string, b: number): void {}<br>type P = Parameters&lt;typeof f&gt;; // [a: string, b: number]</code></pre>
What does <code>ConstructorParameters&lt;T&gt;</code> do in TypeScript? Give an example.	Gives the <b>constructor parameter types</b> as a tuple.<br><br><pre><code>class C { constructor(a: string, b: number) {} }<br>type P = ConstructorParameters&lt;typeof C&gt;; // [a: string, b: number]</code></pre>
What does <code>ReturnType&lt;T&gt;</code> do in TypeScript? Give an example.	Gives the <b>return type</b> of a function type.<br><br><pre><code>function f(): number { return 1; }<br>type R = ReturnType&lt;typeof f&gt;; // number</code></pre>
What does <code>InstanceType&lt;T&gt;</code> do in TypeScript? Give an example.	Gives the <b>instance type</b> of a constructor type.<br><br><pre><code>class C { x = 0; }<br>type I = InstanceType&lt;typeof C&gt;; // C</code></pre>
What does <code>Awaited&lt;T&gt;</code> do in TypeScript? Give an example.	Unwraps <code>Promise</code>-like types (recursive).<br><br><pre><code>type A = Awaited&lt;Promise&lt;number&gt;&gt;; // number<br>type B = Awaited&lt;Promise&lt;Promise&lt;string&gt;&gt;&gt;; // string</code></pre>
What does <code>ThisParameterType&lt;T&gt;</code> do in TypeScript? Give an example.	Extracts the <code>this</code> parameter type of a function, else <code>unknown</code>.<br><br><pre><code>function f(this: { x: number }) {}<br>type T = ThisParameterType&lt;typeof f&gt;; // { x: number }</code></pre>
What does <code>OmitThisParameter&lt;T&gt;</code> do in TypeScript? Give an example.	Removes the <code>this</code> parameter from a function type.<br><br><pre><code>function f(this: object, a: string) {}<br>type F = OmitThisParameter&lt;typeof f&gt;; // (a: string) =&gt; void</code></pre>
What does <code>ThisType&lt;T&gt;</code> do in TypeScript? Give an example.	Marker to declare what <code>this</code> refers to in an object literal (needs <code>noImplicitThis</code>). No runtime effect.<br><br><pre><code>type Obj = { x: number; get(): number } &amp; ThisType&lt;{ x: number }&gt;;</code></pre>
What do <code>Uppercase&lt;S&gt; / Lowercase&lt;S&gt; / Capitalize&lt;S&gt; / Uncapitalize&lt;S&gt;</code> do in TypeScript? Give an example.	Transform string literal types: all-upper, all-lower, first-letter-upper, first-letter-lower.<br><br><pre><code>type A = Uppercase&lt;'hi'&gt;; // 'HI'<br>type B = Lowercase&lt;'Hi'&gt;; // 'hi'<br>type C = Capitalize&lt;'hi'&gt;; // 'Hi'<br>type D = Uncapitalize&lt;'Hi'&gt;; // 'hi'</code></pre>
What does <code>NoInfer&lt;T&gt;</code> (TS 5.4+) do in TypeScript? Give an example.	Blocks type-argument <b>inference</b> at that position, forcing use of the explicit / default type.<br><br><pre><code>function f&lt;T&gt;(a: T, b: NoInfer&lt;T&gt;) {}<br>f('a', 'b'); // ok<br>// f('a', 1); // Error: T inferred as string from a only</code></pre>
